digimon_id,hplvl99,splvl99,atklvl99,deflvl99,intlvl99,spdlvl99
107,1620,152,153,158,140,155
108,1720,128,207,118,113,192
109,1740,116,215,131,107,177
110,1750,106,212,185,102,160
111,1570,182,103,142,212,134
112,1430,133,167,205,152,120
113,1730,150,150,148,146,153
114,1820,98,212,184,98,146
115,1030,207,108,123,207,182
116,1480,143,192,128,184,146
117,1730,122,194,135,117,179
118,1970,128,162,167,142,134
119,1770,128,202,133,108,182
120,1560,133,162,197,152,120
121,2020,153,128,202,113,122
122,1380,167,143,133,158,192
123,1380,160,155,161,154,172
124,980,212,103,118,202,187
125,1770,123,202,172,103,163
126,1520,165,158,134,162,169
127,890,152,133,999,99,167
128,1080,197,123,128,197,177
129,2020,123,167,160,136,132
130,1230,167,153,133,143,212
131,1720,108,202,172,118,148
132,1620,115,199,187,116,141
133,2020,127,157,152,148,134
134,1180,187,123,123,192,177
135,1670,142,170,150,147,144
136,1770,137,154,149,137,167
137,1770,108,207,182,110,146
138,1230,167,143,133,148,207
139,1230,172,143,148,148,207
140,1770,118,197,143,113,172
141,2070,169,138,227,153,131
142,1670,174,206,148,168,192
143,1380,177,173,158,163,232
144,1530,143,187,221,187,134
145,1580,153,177,227,182,128
146,1920,143,262,133,113,212
147,1780,162,207,143,207,159
148,1970,133,227,153,128,217
149,1700,152,218,180,144,192
150,2020,138,227,143,133,212
151,1670,187,153,168,178,187
152,1280,227,108,138,252,202
153,1920,113,222,217,113,168
154,1480,177,173,158,178,207
155,2050,159,188,192,148,163
156,1730,143,191,212,167,139
157,1910,158,182,178,154,153
158,1430,177,178,188,148,207
159,2020,123,262,202,113,153
160,2170,133,227,143,118,202
161,1780,146,232,133,159,193
162,1820,187,168,167,183,153
163,2070,120,237,202,118,171
164,2170,189,128,222,183,131
165,2270,152,167,187,163,144
166,1480,192,168,168,173,222
167,1720,182,171,183,158,174
168,1820,118,267,212,108,168
169,1750,157,190,150,181,172
170,2270,128,204,182,153,146
171,1970,133,227,187,118,193
172,1380,212,108,148,237,197
173,1870,154,190,170,176,148
174,1380,187,173,168,173,232
175,1920,138,257,168,123,192
176,2020,133,182,202,160,146
177,2120,118,247,192,109,162
178,2050,120,239,205,118,168
179,2620,140,167,167,148,141
180,1770,128,212,227,133,148
181,2070,123,225,212,123,165
182,1630,158,189,222,177,131
183,1720,192,113,163,239,146
184,1820,187,188,173,158,182
185,1820,182,173,163,160,180
186,1580,153,189,217,172,136
187,2120,141,177,162,168,155
188,1430,177,153,153,183,217
189,1430,192,156,131,192,212
190,1330,187,138,143,227,197
191,2220,167,133,232,133,128
192,1630,158,207,138,192,168
193,1670,224,103,143,237,141
194,2320,137,177,177,173,144
195,1720,202,137,168,227,149
196,2120,126,222,163,108,184
197,2120,138,202,147,153,188
198,2070,133,222,133,128,217
199,2120,167,155,217,128,136
200,1870,197,125,163,222,146
201,2020,118,222,207,108,168
202,2020,123,242,197,126,165
203,2120,123,232,207,119,162
204,2260,123,237,202,108,159
205,1580,153,184,242,172,131
206,1480,148,177,217,182,142
207,2220,137,182,172,168,144
208,1330,182,168,153,168,237
209,2120,138,242,153,108,202
210,1820,207,108,153,232,158
211,1720,167,163,158,168,197
212,1280,217,113,138,227,217
213,1880,188,222,158,262,188
214,1280,227,138,138,222,202
215,2020,133,242,133,118,212
216,2070,123,247,148,108,207
217,1180,232,108,128,262,192
218,1950,207,245,158,168,217
219,1880,177,212,247,212,169
220,2270,173,252,153,143,257
221,1770,237,113,163,262,173
222,2270,197,188,188,188,202
223,2370,158,262,168,153,212
224,2420,149,212,197,178,177
225,1920,183,212,173,168,227
226,2170,208,167,138,228,232
227,2030,169,252,148,207,187
228,2220,137,257,222,138,189
229,1230,247,143,208,257,212
230,2220,143,267,173,133,217
231,2130,148,265,195,182,188
232,1830,188,237,183,222,193
233,2220,138,267,232,148,183
234,2670,129,252,222,148,187
235,1780,163,218,227,185,164
236,1920,222,123,178,257,183
237,2120,127,242,237,128,189
238,1780,194,223,163,218,215
239,1630,163,198,277,187,167
240,1850,173,228,148,169,232
241,2270,197,168,272,178,163
242,1680,252,133,138,287,212
243,1680,252,133,148,272,217
244,2270,143,257,193,173,197
245,2270,143,292,148,123,222
246,1380,242,133,158,252,232
247,2070,163,262,193,153,227
248,2470,158,267,153,123,217
249,2570,158,292,148,123,227
250,2120,138,257,217,138,193
251,1580,207,188,203,203,247
252,2070,202,218,178,178,207
253,2020,221,133,193,262,179
254,1970,186,198,188,168,198
255,2170,133,252,207,138,188
256,2220,148,257,158,138,232
257,2570,143,237,182,163,173
258,2070,167,213,213,187,203
259,1180,242,128,198,262,242
260,2270,158,307,148,118,232
261,1930,182,242,158,242,189
262,2020,202,198,203,198,202
263,2270,158,277,173,133,237
264,2250,131,257,234,134,184
265,1380,252,163,158,247,247
266,1730,207,208,178,188,282
267,2130,140,284,178,147,194
268,1930,186,212,194,227,178
269,1680,163,207,242,192,163
270,1920,148,237,222,150,186
271,1870,243,123,178,297,177
272,2220,123,257,247,119,187
273,1280,242,168,148,247,222
274,1630,163,217,227,202,163
275,890,186,148,999,99,208
276,2320,132,247,237,128,189
277,2270,191,148,237,153,169
278,2470,128,277,227,133,178
279,2220,212,113,163,252,173
280,2320,182,158,232,168,163
281,2270,158,292,163,138,227
282,2270,158,302,168,143,237
283,2270,237,128,163,267,183
284,1780,237,123,143,257,217
285,2420,227,128,173,247,173
286,2170,122,262,222,123,189
287,2070,166,239,148,153,242
288,1460,192,212,156,168,282
289,1830,193,232,178,232,198
290,1580,262,103,133,267,212
291,2170,158,272,158,158,227
292,2070,158,247,158,148,237
293,1930,173,237,148,217,223
294,1730,163,227,247,182,163
295,2130,174,248,181,158,217
296,2270,182,178,252,133,163
297,1580,197,203,178,178,242
298,1680,177,217,237,187,169
299,1970,207,138,188,232,173
300,1810,164,232,202,195,216
301,2270,122,282,222,113,189
302,2370,164,222,212,193,177
303,1330,267,138,148,287,232
304,1480,197,188,168,188,267
305,1480,187,198,188,193,277
306,1680,207,193,188,193,257
307,1870,201,193,178,198,198
308,2020,197,198,188,208,197
309,1330,252,113,153,277,227
310,2350,153,319,192,123,213
311,2050,212,253,158,183,224
312,2070,187,228,198,208,207
313,2070,212,203,203,203,207
314,2270,202,228,188,183,207
315,2270,143,272,227,173,193
316,1980,188,207,257,212,173
317,1670,173,382,138,128,247
318,1230,192,303,133,253,232
319,2220,168,247,217,188,198
320,2070,183,267,168,178,232
321,2370,123,311,227,148,189
322,1880,237,128,168,297,217
323,1670,147,168,148,138,192
324,1730,173,222,272,202,163
325,1630,163,212,242,212,163
326,1620,101,192,160,94,136
327,2050,195,215,193,163,219
328,1380,117,187,141,96,161
329,1560,130,199,158,110,177
330,1790,133,247,201,113,182
331,1940,148,285,223,123,217
332,2280,237,128,148,247,247
333,1420,164,92,121,180,126
334,1700,239,111,156,255,224
335,1280,165,145,136,144,203
336,2140,158,252,146,153,232
337,1670,173,180,185,180,187
338,1720,169,189,170,180,192
339,1650,178,183,162,187,197
340,1700,167,187,182,182,184
341,1760,162,193,180,182,179
