digimon_id,hplvl1,splvl1,atklvl1,deflvl1,intlvl1,spdlvl1
150,850,50,100,55,55,95
151,600,80,55,70,80,80
152,500,100,30,50,125,85
153,750,35,95,100,35,70
154,600,70,75,60,80,80
155,780,52,100,65,60,85
156,750,45,84,85,60,61
157,930,60,65,90,37,55
158,550,70,80,90,50,80
159,850,45,135,85,35,55
160,1000,45,100,55,40,85
161,800,48,115,45,42,95
162,550,80,80,40,95,75
163,900,42,110,85,40,73
164,900,82,40,95,95,53
165,1000,64,60,80,65,56
166,600,85,70,70,75,95
167,650,75,73,85,60,67
168,650,40,140,95,30,70
169,680,50,92,52,83,65
170,1000,40,97,75,55,58
171,800,55,100,70,40,95
172,600,85,30,60,110,80
173,700,76,63,53,98,50
174,500,80,75,70,75,105
175,750,50,130,80,45,75
176,750,45,75,95,62,58
177,950,40,120,75,31,64
178,880,42,112,88,40,70
179,1350,52,60,60,50,53
180,600,50,85,110,55,50
181,900,45,98,95,45,67
182,650,60,82,95,70,53
183,650,75,35,65,112,58
184,750,80,90,75,60,75
185,750,75,75,65,62,73
186,600,55,82,90,65,58
187,850,53,70,55,70,67
188,550,70,55,55,85,90
189,550,85,58,33,94,85
190,550,60,60,55,100,80
191,950,60,45,105,45,50
192,650,60,90,50,75,70
193,600,107,25,45,110,53
194,1050,49,70,70,75,56
195,650,85,59,70,100,61
196,950,38,95,75,30,67
197,850,50,95,40,55,100
198,900,45,95,45,50,100
199,850,60,67,90,40,58
200,800,80,47,65,95,58
201,850,40,95,90,30,70
202,850,45,115,80,48,67
203,950,45,105,90,41,64
204,1090,45,110,85,30,61
205,600,55,77,115,65,53
206,600,50,70,90,75,64
207,950,49,75,65,70,56
208,450,75,70,55,70,110
209,950,50,115,65,30,85
210,750,90,30,55,105,70
211,650,60,65,60,70,90
212,500,90,35,50,100,100
213,900,90,105,70,145,90
214,500,100,60,50,95,85
215,850,45,115,45,40,95
216,900,35,120,60,30,90
217,400,105,30,40,135,75
218,880,100,147,60,70,110
219,900,79,105,120,105,91
220,1100,85,125,65,65,140
221,700,120,35,65,135,85
222,1200,90,90,90,90,95
223,1200,70,135,80,75,95
224,1150,61,105,90,80,89
225,750,95,85,85,90,110
226,1000,120,40,50,150,115
227,1050,71,135,60,90,89
228,1050,59,130,105,60,91
229,450,120,65,120,130,95
230,1050,55,140,85,55,100
231,1150,50,148,107,65,90
232,850,90,120,95,105,95
233,1050,60,140,115,70,85
234,1500,51,125,105,70,89
235,800,65,111,100,78,86
236,850,105,45,80,130,95
237,950,49,115,120,50,91
238,900,87,125,65,120,88
239,650,65,91,150,80,89
240,680,85,101,60,91,115
241,1000,90,80,145,90,85
242,900,125,55,50,160,95
243,900,125,55,60,145,100
244,1100,55,130,105,95,80
245,1100,55,165,60,45,105
246,600,115,55,70,125,115
247,900,75,135,105,75,110
248,1300,70,140,65,45,100
249,1400,70,165,60,45,110
250,950,60,130,100,60,95
251,700,100,90,105,105,120
252,1000,95,120,80,80,100
253,950,104,55,95,135,91
254,900,79,100,90,70,91
255,1000,55,125,90,60,90
256,1050,60,130,70,60,115
257,1300,55,130,75,65,85
258,1000,50,135,115,60,115
259,400,115,50,110,135,125
260,1100,70,180,60,40,115
261,950,84,125,70,125,91
262,950,95,100,105,100,95
263,1100,70,150,85,55,120
264,1080,53,130,117,56,86
265,600,125,85,70,120,130
266,850,100,110,80,90,155
267,1150,42,167,90,30,96
268,950,88,105,67,120,100
269,700,65,100,115,85,85
270,750,70,110,105,72,88
271,800,126,45,80,170,89
272,1050,45,130,130,41,89
273,500,115,90,60,120,105
274,650,65,110,100,95,85
275,10,79,50,999,1,81
276,1150,54,120,120,50,91
277,1000,84,60,110,65,91
278,1300,50,150,110,55,80
279,1150,95,35,65,125,85
280,1050,75,70,105,80,85
281,1100,70,165,75,60,110
282,1100,70,175,80,65,120
283,1200,120,50,65,140,95
284,1000,110,45,55,130,100
285,1350,110,50,75,120,85
286,1000,44,135,105,45,91
287,900,78,112,60,75,125
288,580,85,114,58,70,155
289,850,95,115,90,115,100
290,800,135,25,45,140,95
291,1000,70,145,70,80,110
292,900,70,120,70,70,120
293,950,75,120,60,100,125
294,750,65,120,120,75,85
295,1250,67,150,83,60,90
296,1000,75,90,125,45,85
297,700,90,105,80,80,115
298,700,79,110,110,80,91
299,900,90,60,90,105,85
300,830,66,125,75,88,138
301,1100,44,155,105,35,91
302,1100,76,115,105,95,89
303,550,140,60,60,160,115
304,600,90,90,70,90,140
305,600,80,100,90,95,150
306,800,100,95,90,95,130
307,800,94,95,80,100,91
308,950,90,100,90,110,90
309,550,125,35,65,150,110
310,1180,75,192,75,45,115
311,980,105,155,60,85,117
312,1000,80,130,100,110,100
313,1000,105,105,105,105,100
314,1200,95,130,90,85,100
315,1100,65,145,110,95,95
316,1000,90,100,130,105,95
317,500,85,255,50,50,130
318,350,85,205,35,155,105
319,1050,90,120,100,110,100
320,900,95,140,80,100,115
321,1200,45,184,110,70,91
322,1100,110,50,80,170,100
323,600,40,70,50,40,85
324,750,75,115,145,95,85
325,650,65,105,115,105,85
326,450,23,65,43,16,38
327,980,88,117,95,65,112
328,210,29,60,53,18,44
329,390,42,72,70,32,60
330,620,45,120,113,35,65
331,770,60,158,135,45,100
332,1500,110,50,60,120,130
333,350,47,14,23,53,38
334,920,112,33,68,128,107
335,400,58,47,38,46,76
336,970,70,125,58,75,115
337,300,36,38,43,38,45
338,350,32,47,28,38,50
339,280,41,41,20,45,55
340,330,30,45,40,40,42
341,390,25,51,38,40,37
